Site No,Location,Gage,Remarks,Valid
13333000,"Lat 45Â°56'45"", long 117Â°27'00"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.04, T.5 N., R.43 E., Wallowa County, OR, Hydrologic Unit 17060106, on left bank, on upstream side of bridge at Troy, 100 ft downstream from Wenaha River and at mile 45.3.","Water-stage recorder and crest-stage gage. Datum of gage is 1,585.98 ft above NGVD of 1929. Aug. 17, 1944 to Sept. 30, 1949, nonrecording gage at datum 10.85 ft lower. Oct. 1, 1949 to Sept. 5, 1963, water-stage recorder at datum 1.15 ft higher. Sept. 6, 1963 to Oct. 19, 1994, water-stage recorder at site 500 ft downstream at present datum.","Flow slightly regulated by Wallowa Lake and small reservoirs. Diversions for irrigation upstream from station, mainly in vicinity of LaGrande, Enterprise and Wallowa; transbasin diversions for irrigation from Big Sheep Creek and tributaries in Imnaha River Basin to Wallowa River Basin and from South Fork Catherine Creek to the Powder River Basin.",0.0
14012000,"Lat 45Â°55'17.8"", long 118Â°22'28.3"" referenced to North American Datum of 1983, Umatilla County, OR, Hydrologic Unit 17070102, on left bank on downstream side of bridge, 0.8 mi downstream of Couse Creek, and 0.7 mi southeast of Milton-Freewater.",Water-stage recorder and crest-stage gage. The datum of the gage has not been determined. Jan. 1903 to Sept. 1905 at site 0.6 mi upstream at a different datum.,No regulation. Many diversions for irrigation above station.,1.0
14020000,"Lat 45Â°43'11"", long 118Â°19'20"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.21, T.3 N., R.36 E., Umatilla County, OR, Hydrologic Unit 17070103, Umatilla Indian Reservation, on right bank, 0.8 mi downstream from Ryan Creek, 2.2 mi upstream from Meacham Creek, 2.5 mi northeast of Gibbon and at mile 83.1.","Water-stage recorder and crest-stage gage. Datum of gage is 1,854.81 ft above NGVD of 1929. Prior to June 27, 1939, at site 1 mi downstream at datum 43.94 ft lower.",No regulation or diversion upstream from station. Continuous water-quality records for period June 1959 to September 1980 have been collected at this location.,2.0
14020300,"Lat 45Â°41'20"", long 118Â°21'20"" referenced to North American Datum of 1927, in SE 1/4 SE 1/4 sec.31, T.3 N., R.36 E., Umatilla County, OR, Hydrologic Unit 17070103, on left bank, 0.2 mi downstream from Union Pacific railroad bridge, 0.9 mi southeast of Gibbon and at mile 1.3.","Water-stage recorder and crest-stage gage. Datum of gage is 1,793.05 ft above NGVD of 1929. Prior to Feb. 28, 2020 at site 800 ft upstream at a datum 10 ft higher.",No known regulation or diversion upstream from station.,2.0
14020850,"Lat 45Â°40'18"", long 118Â°44'08"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.07, T.2 N., R.33 E., Umatilla County, OR, Hydrologic Unit 17070103, on left bank, 0.5 mi east of west line of boundary for Umatilla Indian Reservation, 1.6 mi upstream from Wildhorse Creek, 2.5 mi east of post office in Pendleton and at mile 58.3.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,130 ft above NGVD of 1929, from topographic map.",No known regulation. Many diversions for irrigation upstream from station.,1.0
14033500,"Lat 45Â°54'11"", long 119Â°19'33"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.21, T.5 N., R.28 E., Umatilla County, OR, Hydrologic Unit 17070103, on left bank, 1.2 mi southeast of Umatilla, 1.6 mi downstream from West Extension main canal of Umatilla project and at mile 2.1.","Water-stage recorder and crest-stage gage. Datum of gage is 330.47 ft above NGVD of 1929. Oct. 21, 1903 to Jan. 25, 1931, nonrecording gage.","Some regulation since 1927 by McKay Reservoir (active capacity, 71,500 acre-ft). Many diversions upstream from station for irrigation of lands upstream and downstream from station; Brownell Canal diverts downstream from station. Diversions since 1908 to Cold Springs Reservoir (active capacity, 44,600 acre-ft), an off-channel reservoir. Continuous water-quality records for period October 1962 to September 1969 have been collected at this location.",0.0
14034470,"Lat 45Â°20'27"", long 119Â°30'53"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.01, T.3 S., R.26 E., Morrow County, OR, Hydrologic Unit 17070104, on right bank, 1.5 mi southeast of Heppner, 1.7 mi upstream from Willow Creek dam and at mile 54.1.","Water-stage recorder and crest-stage gage. Datum of gage is 2,085.41 ft above NGVD of 1929 (levels by U.S. Army Corps of Engineers).",Many diversions for irrigation upstream from station. Part of flow of Ditch Creek (John Day River basin) is diverted to Willow Creek upstream from station.,0.0
14034480,"Lat 45Â°19'56"", long 119Â°32'24"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.02, T.3 S., R.26 E., Morrow County, OR, Hydrologic Unit 17070104, on right bank, 0.7 mi upstream from bridge on Willow Creek Road, 1.0 mi southeast of Heppner, 1.2 mi upstream from Willow Creek dam, and at mile 1.1.","Water-stage recorder and crest-stage gage. Concrete control since Aug. 24, 1982. Datum of gage is 2,101.52 ft above NGVD of 1929 (Corps of Engineers bench mark).",Diversion for irrigation of about 170 acres upstream from station. Chemical analysis May 1985 to September 1987.,0.0
14034500,"Lat 45Â°21'02"", long 119Â°32'56"" referenced to North American Datum of 1927, in SE 1/4 NW 1/4 sec.35, T.2 S., R.26 E., Morrow County, OR, Hydrologic Unit 17070104, on right bank, at Heppner, 100 ft upstream from Court Street bridge, 800 ft southeast of Morrow County Courthouse, 0.2 mi downstream from Willow Creek Dam and at mile 52.2.","Water-stage recorder. Concrete control since September 1985. Datum of gage is 1,952.73 ft above NGVD of 1929.","Flow regulated since Feb. 16, 1983 by Willow Creek Lake (active capacity, 13,950 acre-ft). Many diversions for irrigation upstream from station. Part of the flow of Ditch Creek (John Day River basin) is diverted to Willow Creek upstream from station.",0.0
14034608,"Lat 45Â°21'41"", long 119Â°33'33"" referenced to North American Datum of 1927, Morrow County, OR, Hydrologic Unit 17070104, on right bank, 20 ft upstream from Morgan Street bridge in Heppner, 1.2 mi downstream from Willow Creek Dam, and at mile 51.2.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,910 ft above NGVD of 1929, from topographic map.","Flow regulated by Willow Creek Lake (capacity, 14,020 acre-ft). Many diversions for irrigation upstream from station. Part of flow from Ditch Creek (John Day River basin) is diverted to Willow Creek upstream from station.",0.0
14036860,"Lat 44Â°21'29"", long 118Â°34'30"" referenced to North American Datum of 1927, in SE 1/4 NW 1/4 sec.13, T.14 S., R.34 E., Grant County, OR, Hydrologic Unit 17070201, on right bank, 0.25 mi downstream from Blue Mountain Hot Springs, 0.6 mi downstream from Rail Creek, 8 mi southeast of Prairie City and at mile 275.3.","Water-stage recorder and crest-stage gage. Elevation of gage is 4,200 ft above NGVD of 1929, from topographic map.",No regulation. Some diversions for irrigation upstream from station.,1.0
14038530,"Lat 44Â°25'07"", long 118Â°54'19"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.19, T.13 S., R.32 E., Grant County, OR, Hydrologic Unit 17070201, on left bank, 1,200 ft downstream from Dog Creek, 2.5 mi east of John Day and at mile 250.8.","Water-stage recorder. Datum of gage is 3,130.56 ft above NGVD of 1929.",No regulation. Many diversions for irrigation upstream from station.,1.0
14043840,"Lat 44Â°41'33.45"", long 118Â°47'39.51"" referenced to North American Datum of 1983, Grant County, OR, Hydrologic Unit 17070203, and on left bank.","Water-stage recorder. Elevation of gage is 3,455 ft above NAVD of 1988, from topographic map.",No known regulation. Diversions for irrigation upstream from station.,1.0
14044000,"Lat 44Â°53'20"", long 119Â°08'25"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.08, T.8 S., R.30 E., Grant County, OR, Hydrologic Unit 17070203, on left bank, 0.2 mi south of Ritter, 0.8 mi downstream from Twelvemile Creek and at mile 14.9.","Water-stage recorder. Datum of gage is 2,544.56 ft above NGVD of 1929.",No regulation. Diversions for irrigation upstream from station. Continuous water-quality records for period July 1966 to September 1968 have been collected at this location.,1.0
14046000,"Lat 44Â°48'50"", long 119Â°25'50"" referenced to North American Datum of 1927, in SE 1/4 sec.02, T.9 S., R.27 E., Grant County, OR, Hydrologic Unit 17070202, on right bank, just downstream from entrance to canyon, 0.7 mi downstream from Cottonwood Creek, 0.8 mi west of Monument and at mile 15.3.","Water-stage recorder. Datum of gage is 1,959.64 ft above NGVD of 1929. Prior to Nov. 24, 1925, nonrecording gage and Nov. 24, 1925 to Oct. 16, 1928, water-stage recorder at datum 1.10 ft higher. Oct. 17, 1928 to Sept. 30, 1930, water-stage recorder at datum 1.00 ft higher.",Very slight regulation by small reservoirs and many small diversions for irrigation upstream from station. Continuous water-quality records for period July 1966 to September 1968 have been collected at this location.,1.0
14046500,"Lat 44Â°47'38"", long 120Â°00'20"" referenced to North American Datum of 1927, in NW 1/4 NE 1/4 sec.18, T.9 S., R.23 E., Wheeler County, OR, Hydrologic Unit 17070204, on left bank, 0.2 mi downstream from bridge on State Highway 207, 0.8 mi downstream from Service Creek, 0.5 mi southwest of town of Service Creek and at mile 156.7.","Water-stage recorder. Datum of gage is 1,632.42 ft above NGVD of 1929. See WSP 1738 for history of changes prior to Feb. 24, 1957.",Slight regulation by several small reservoirs upstream from station. Many small diversions for irrigation upstream from station.,0.0
14046778,"Lat 44Â°43'37"", long 120Â°18'03"" referenced to North American Datum of 1927, in NW 1/4 S 1/4 W 1/4 sec.2, T.10 S., R.20 E., Wheeler County, OR, Hydrologic Unit 17070204, 13 mi northwest of Mitchell and 0.75 mi upstream from mouth.","Water-stage recorder and crest-stage gage. Datum of gage is 1,531.67 ft above NAVD of 1988, from GPS.
",No regulation. Diversions for irrigation upstream from station. Continuous water-quality records for period August 2006 to September 2015 have been collected at this location.,1.0
14046890,"Lat 44Â°54'38"", long 120Â°26'23"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.34, T.7 N., R.19 E., Wheeler County, OR, Hydrologic Unit 17070204, on left bank, 1.5 mi east of Clarno and at mile 0.4.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,340 ft above NGVD of 1929, from topographic map.",No known regulation or diversion upstream from station. Precipitation records for period June 2004 to September 2013 have been collected at this location.,2.0
14048000,"Lat 45Â°35'16"", long 120Â°24'30"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.11, T.1 N., R.19 E., Sherman County, OR, Hydrologic Unit 17070204, on left bank, at McDonald Ferry, 0.8 mi downstream from Rock Creek, 10 mi east of Klondike and at mile 20.9.","Water-stage recorder. Datum of gage is 392.27 ft above NGVD of 1929. Prior to Aug. 30, 1930, nonrecording gage at same site and datum.",No regulation. Many diversions for irrigation upstream from station. Water-quality records for some periods have been collected at this location.,1.0
14070615,"Lat 44Â°02'13.61"", long 121Â°37'57.97"" referenced to North American Datum of 1983, in NW 1/4 NE 1/4 sec.10, T.18 S., R.9 E., Deschutes County, OR, Hydrologic Unit 17070301, in Deschutes National Forest, on right bank, 90 ft upstream of confluence with Prowell Springs diversion pool outflow, and 16.2 mi west of Bend, OR.","Water-stage recorder and crest-stage gage. Elevation of gage is 6,329 ft above NAVD of 1988, from digital elevation model. ",No regulation.,1.0
14070621,"Lat 44Â°02'13.44"", long 121Â°37'57.32"" referenced to North American Datum of 1983, in NW 1/4 NE 1/4 sec.10, T.18 S., R.9 E., Deschutes County, OR, Hydrologic Unit 17070301, on left bank, 6 mi upstream from mouth of Bridge Creek and 22 mi west of Bend, OR.",Water-stage recorder.,Flow regulated by Prowell Springs Diversion Pool.,0.0
14070624,"Lat 44Â°02'14.02"", long 121Â°37'57.23"" referenced to North American Datum of 1983, in NW 1/4 NE 1/4 sec.10, T.18 S., R.9 E., Deschutes County, OR, Hydrologic Unit 17070301, Deschutes National Forest, on right bank, 35 ft downstream of confluence with Prowell Springs diversion pool outflow, and 16.2 mi west of Bend, OR. ","Water-stage recorder and crest-stage gage. Elevation of gage is 6,326 ft above NAVD of 1988, from Digital Elevation Model. ",Flow regulated by Prowell Springs Reservoir (station 14070620).  Water is diverted from Prowell Springs Reservoir by the Diversion Canal to Bridge Creek (station 14070621) and flows into Bridge Creek above the City of Bend intake.,0.0
14070900,"Lat 44Â°01'51.9"", long 121Â°34'04.2"" referenced to North American Datum of 1983, in SE 1/4 NE 1/4 sec.07, T.18 S., R.10 E., Deschutes County, OR, Hydrologic Unit 17070301, Deschutes National Forest, on left bank, 0.2 mi upstream of confluence with Tumalo Creek, and 12.9 mi west of Bend, OR.","Water-stage recorder and crest-stage gage. Elevation of gage is 4,993 ft above NAVD of 1988, from digital elevation model. ",Diversions made upstream from station. Water is diverted from Prowell Springs Reservoir (station 14170620) in the Middle Fork Tumalo basin by the Diversion Canal to Bridge Creek (station 14070621) and flows into Bridge Creek above the City of Bend intake.,0.0
14076500,"Lat 44Â°29'56"", long 121Â°19'12"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.29, T.12 S., R.12 E., Jefferson County, OR, Hydrologic Unit 17070301, on right bank, 2.5 mi downstream from Whychus Creek, 6.0 mi southwest of Culver and at mile 120.1.","Water-stage recorder. Elevation of gage is 1,980 ft above NGVD of 1929 (river-profile survey). July 14, 1952 to Sept. 30, 1961, at site 4.1 mi downstream at different datum.","Flow regulated by Crescent Lake and Crane Prairie and Wickiup Reservoirs (combined capacity, 342,200 acre-ft). Many diversions for irrigation upstream from station.",0.0
14087380,"Lat 44Â°25'37.4"", long 121Â°13'54.2"" referenced to North American Datum of 1927, in NW 1/4 SW 1/4 sec.24, T.13 S., R.12 E., Jefferson County, OR, Hydrologic Unit 17070305, on left bank, 6.3 mi south of Culver and at mile 13.5.","Water-stage recorder and crest-stage gage. Elevation of gage is 2,190 ft above NGVD of 1929, from topographic map.","Flow regulated by Prineville and Ochoco Reservoirs (combined active capacity, 188,200 acre-ft). Summer flow and storage upstream from Prineville diverted for irrigation. Continuous water-quality records for period November 2003 to September 2006 have been collected at this location.",0.0
14087400,"Lat 44Â°29'33"", long 121Â°17'50"" referenced to North American Datum of 1927, in NW 1/4 NE 1/4 sec.33, T.12 S., R.12 E., Jefferson County, OR, Hydrologic Unit 17070305, on right bank, 0.2 mi downstream from Opal Springs, 4.8 mi southwest of Culver and at mile 6.7.","Water-stage recorder. Datum of gage is 1,953.60 ft above NGVD of 1929 (Portland General Electric Co. bench mark).","Flow regulated by Prineville Reservoir (active capacity, 148,600 acre-ft, from survey completed in 1998) and Ochoco Reservoir (active capacity, 39,600 acre-ft, from survey completed in 1990). Dam and powerplant 0.3 mi upstream, completed in 1985, causes brief fluctuations in flow. Many diversions for irrigation upstream from station. Practically all of summer flow comes from Opal Springs and other springs within 15 mi upstream from station. Simultaneous records (1961-63) at former gaging station 5.6 mi downstream indicated over 15 percent increase to summer flow from springs downstream from this station.",0.0
14091500,"Lat 44Â°37'35"", long 121Â°28'58"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.12, T.11 S., R.10 E., Jefferson County, OR, Hydrologic Unit 17070301, Deschutes National Forest, on right bank, 1.0 mi upstream from maximum controlled pool of Lake Billy Chinook, 9 mi northwest of Grandview and at mile 13.6.","Water-stage recorder. Datum of gage is 1,974.36 ft above NGVD of 1929 (levels by Portland General Electric Co.). Prior to Dec. 31, 1913, nonrecording gage at site 2.3 mi upstream at different datum. Oct. 1, 1921 to May 3, 1949, nonrecording gage and May 4, 1949 to June 18, 1963, water-stage recorder at site 2.7 mi downstream at datum 64 ft lower.",No regulation. Many small diversions for irrigation upstream from station. Stream is spring fed. Records given herein are for measuring site.,1.0
14092500,"Lat 44Â°43'34"", long 121Â°14'45"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.01, T.10 S., R.12 E., Jefferson County, OR, Hydrologic Unit 17070306, on right bank, 400 ft downstream from re-regulating dam, 2.7 mi downstream from Pelton Dam, 8.5 mi northwest of Madras and at mile 100.1.","Water-stage recorder. Datum of gage is 1,390.25 ft above NGVD of 1929 (levels by Portland General Electric Co.). See WSP 1738 for history of changes prior to Nov. 23, 1957.","Diurnal fluctuation caused by Lake Simtustus and reregulating reservoir since 1957 (combined capacity for normal operation, 6,500 acre-ft). Some winter and spring runoff stored in Ochoco Reservoir (active capacity, 39,600 acre-ft, from survey completed in 1990), in Crescent Lake, and Crane Prairie and Wickiup Reservoirs (combined active capacity, 342,200 acre-ft), since 1960 in Prineville Reservoir (active capacity, 148,600 acre-ft, from survey completed in 1998), and since 1964 in Lake Billy Chinook (active capacity, 273,900 acre-ft). Large diversions in upper basin for irrigation.",0.0
14092750,"Lat 44Â°45'02"", long 121Â°37'56"" referenced to North American Datum of 1927, in NW 1/4 NE 1/4 sec.35, T.9 S., R.9 E., Jefferson County, OR, Hydrologic Unit 17070306, Warm Springs Indian Reservation, on left bank, 0.5 mi downstream from Peters Pasture, 18 mi west of town of Warm Springs and at mile 26.4.","Water-stage recorder and crest-stage gage. Elevation of gage is 3,580 ft above NGVD of 1929, from topographic map.",No regulation or diversion upstream from station.,2.0
14093000,"Lat 44Â°45'52"", long 121Â°14'07"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.25, T.9 S., R.12 E., Jefferson County, OR, Hydrologic Unit 17070306, Warm Springs Indian Reservation, on left bank, 1.5 mi east of Warm Springs and at mile 0.7.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,395 ft above NAVD of 1988, from topographic map. Prior to September 1928, nonrecording gage 1.3 mi upstream at different datums. October 1972 to September 1974, water-stage recorder at site 0.4 mi downstream at different datum.",No regulation. Some diversions for irrigation upstream from station.,1.0
14096850,"Lat 44Â°57'32"", long 121Â°23'35"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.14, T.7 S., R.11 E., Wasco County, OR, Hydrologic Unit 17070306, Warm Springs Indian Reservation, on right bank, 600 ft downstream from culvert on Warm Springs Reservation Highway 9, 200 ft downstream from Quartz Creek, 2.4 mi west of Simnasho at mile 7.92.","Water-stage recorder. Elevation of gage is 2,260 ft above NGVD of 1929, from topographic map.",No regulation or diversion upstream from station.,2.0
14097100,"Lat 44Â°51'24"", long 121Â°08'55"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.23, T.8 S., R.13 E., Wasco County, OR, Hydrologic Unit 17070306, Warm Springs Indian Reservation, on right bank, 25 ft upstream from bridge, 2.5 mi east of Kahneeta Hot Springs and at mile 4.6.","Water-stage recorder. Datum of gage is 1,394.96 ft above NGVD of 1929 (levels by West Consultants).",No regulation. Small diversions for irrigation upstream from station.,1.0
14103000,"Lat 45Â°37'20"", long 120Â°54'16"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.26, T.2 N., R.15 E., Sherman County, OR, Hydrologic Unit 17070306, on right bank, at Moody, 4.0 mi southwest of Biggs and at mile 1.4.","Water-stage recorder. Datum of gage is 167.54 ft above NGVD of 1929. Oct. 19, 1897 to Dec. 31, 1899, nonrecording gage at site 10 mi upstream at different datum. July 22, 1906 to July 18, 1930, nonrecording gage at site 300 ft downstream at datum 0.50 ft lower.","Some fluctuation caused by Lake Simtustus and reregulating reservoir since 1957 (combined capacity for normal operation, 6,500 acre-ft). Some winter and spring runoff stored in Ochoco Reservoir (active capacity, 39,600 acre-ft, from survey completed in 1990), in Crescent Lake, and Crane Prairie and Wickiup Reservoirs (combined active capacity, 342,200 acre-ft), since 1960 in Prineville Reservoir (active capacity, 148,600 acre-ft, from survey completed in 1998), and since 1964 in Lake Billy Chinook (active capacity, 273,900 acre-ft). Large diversions in upper basin for irrigation.",0.0
14105700,"Lat 45Â°36'29.8"", long 121Â°11'23.7"" referenced to North American Datum of 1983, in SW 1/4 SW 1/4 sec.34, T.2 N., R.13 E., Wasco County, OR, Hydrologic Unit 17070105, U.S. Army Corps of Engineers land, on left bank, 0.3 mi downstream from Mill Creek, 2.6 mi downstream from The Dalles Dam and at mile 188.9.","Ultrasonic velocity meter (UVM) with water-stage and velocity-index recorder, and crest-stage gage. Datum of gage is NGVD of 1929. See WSP 1738 for history of changes prior to Mar. 16, 1957. Mar. 16, 1957 to Sept 30, 1968, water-stage recorder at site 0.4 mi upstream at same datum.",Considerable regulation by many large reservoirs. Diurnal fluctuations caused by powerplant and gates at The Dalles Dam. Many diversions for irrigation upstream from station.,0.0
14113200,"Lat 45Â°38'57"", long 121Â°22'34"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.19, T.2 N., R.12 E., Wasco County, OR, Hydrologic Unit 17070105, on left bank, 0.1 mi downstream from West Fork Mosier Creek, 2.5 mi southeast of Mosier and at mile 3.0.","Water-stage recorder and crest-stage gage. Elevation of gage is 425 ft above NGVD of 1929, from topographic map. Prior to July 22, 1976, water-stage recorder at site 20 ft upstream at datum 3.57 ft higher. July 22, 1976 to Dec. 12, 1977, water-stage recorder at site 20 ft upstream at datum 1.57 ft higher.",No regulation. Several small pumping diversions for irrigation upstream from station.,1.0
14120000,"Lat 45Â°39'16.20"", long 121Â°32'55.68"" referenced to North American Datum of 1983, in NE 1/4 SE 1/4 sec.15, T.2 N., R.10 E., Hood River County, OR, Hydrologic Unit 17070105, on right bank, 25 ft downstream from Tucker Bridge, 0.5 mi upstream from Odell Creek, 4.0 mi southwest of town of Hood River and at mile 6.1.","Water-stage recorder and crest-stage gage. Datum of gage is 383.2 ft above NGVD of 1929 (Oregon Department of Transportation bench mark). Prior to July 23, 1915, nonrecording gage at bridge at various datums. July 23 to Dec. 21, 1915, water-stage recorder at site 0.8 mi upstream at different datum. January 1916 to September 1917, nonrecording gage at bridge at different datum. Jan. 16 to July 23, 1965, nonrecording gage at bridge.",Some daily fluctuation possibly caused by diversion dam upstream from station and sawmill at Dee. Diversions for irrigation upstream from station.,0.0
14123500,"Lat 45Â°45'08"", long 121Â°31'33"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.14, T.3 N., R.10 E., Skamania County, WA, Hydrologic Unit 17070105, on right bank 300 ft downstream from bridge, 1,000 ft downstream from PacifiCorp Condit powerhouse, 1.7 mi north of Underwood and at mile 1.9.","Water-stage recorder and crest-stage gage. Datum of gage is 112.96 ft above NGVD of 1929. Prior to March 1913, reference point at dam 1 mi upstream at different datum. March 1915 to July 16, 1918, water-stage recorder at site 200 ft upstream at datum 3.24 ft higher and July 17, 1918 to Sept. 30, 1930, at datum 2.24 ft higher.","Diversions for irrigation of about 4,000 acres in Trout Lake area. Prior to Oct. 26, 2011, low and medium flows regulated by powerplant of PacifiCorp. Chemical analyses August 1960 to August 1961, water years 1964-68 (miscellaneous), October 1967 to September 1970 (monthly), November 1975 to June 1980; water temperatures July 1968 to August 1970.",0.0
14128870,"Lat 45Â°37'59"", long 121Â°57'39"" referenced to North American Datum of 1983, in SW 1/4 SW 1/4 sec.21, T.2 N., R.7 E., Multnomah County, OR, Hydrologic Unit 17080001, on left bank, 0.9 mi downstream from Bonneville Dam left bank powerhouse, 50 ft upstream from Tanner Creek and at mile 144.5.","Water-stage recorder and crest-stage gage. Datum of gage is NGVD of 1929. Prior to Aug. 15, 1990, at site 0.5 mi upstream at same datum.",Flow regulated by many reservoirs upstream.,0.0
14137000,"Lat 45Â°23'59"", long 122Â°08'10"" referenced to North American Datum of 1927, in NW 1/4 sec.18, T.2 S., R.6 E., Clackamas County, OR, Hydrologic Unit 17080001, on right bank, 0.6 mi west/northwest of Marmot, 7.7 mi downstream from Salmon River and at mile 29.8.","Water-stage recorder and crest-stage gage. Datum of gage is NGVD of 1929 (levels by Portland General Electric Co.). Aug. 15, 1911 to Dec. 20, 1915 and July 2, 1919 to Oct. 19, 1933, nonrecording gage at site 1.5 mi upstream at different datum. Oct. 20, 1933 to Sept. 30, 1958, water-stage recorder at site 1.1 mi upstream at different datum. Oct. 1, 1958 to Mar. 10, 1997, water-stage recorder at site 0.6 mi upstream at different datum. Mar. 11, 1997 to Sept. 30, 2002, water-stage recorder at site 0.5 mi upstream at same datum.",No regulation or diversion upstream from station. Precipitation records for period October 2009 to September 2012 have been collected at this location.,1.0
14138720,"Lat 45Â°28'16"", long 121Â°51'51"" referenced to North American Datum of 1927, in SE 1/4 NE 1/4 sec.19, T.1 S., R.8 E., Multnomah County, OR, Hydrologic Unit 17080001, at flume, 1.0 mi downstream from outlet structure at Bull Run Lake, 10.4 mi northeast of Brightwood and at mile 20.9.","Water-stage recorder. Elevation of gage is 2,840 ft above NGVD of 1929, from topographic map.",Regulation at times by Bull Run Lake (station 14138560).,0.0
14138800,"Lat 45Â°27'10"", long 121Â°53'25"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.25, T.1 S., R.7 E., Clackamas County, OR, Hydrologic Unit 17080001, Mount Hood National Forest, on right bank, 600 ft downstream from the confluence of Bedrock and Hickman Creeks, 8.6 mi north of Rhododendron and at mile 3.78.","Water-stage recorder. Elevation of gage is 2,540 ft above NGVD of 1929, from topographic map.",No regulation or diversion upstream from station.,2.0
14138850,"Lat 45Â°29'54"", long 122Â°00'40"" referenced to North American Datum of 1927, in sec.12, T.1 S., R.63 E., Multnomah County, OR, Hydrologic Unit 17080001, Mount Hood National Forest, on right bank, 1.2 mi upstream from North Fork, 7.0 mi southeast of Multnomah Falls and at mile 14.8.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,080 ft above NGVD of 1929, from topographic map.",Regulation at times since 1915 by Bull Run Lake (station 14138560). No diversion upstream from station.,0.0
14138870,"Lat 45Â°28'49"", long 122Â°01'28"" referenced to North American Datum of 1927, in NE 1/4 SE 1/4 sec.14, T.1 S., R.6 E., Multnomah County, OR, Hydrologic Unit 17080001, on right bank, 6.4 mi north of Brightwood and 0.6 mi upstream from Bull Run Reservoir Number One.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,480 ft above NAVD of 1988, from topographic map.",No regulation or diversion upstream from station.,1.0
14138900,"Lat 45Â°29'40"", long 122Â°02'05"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.11, T.1 S., R.6 E., Multnomah County, OR, Hydrologic Unit 17080001, Mount Hood National Forest, on left bank, 7.0 mi southeast of Multnomah Falls and at mouth.","Water-stage recorder and crest-stage gage. Elevation of gage is 1,060 ft above NGVD of 1929, from topographic map. Prior to Oct. 1, 1978 and June 13, 1989 to Sept. 30, 1990 (during bridge construction), at site 700 ft upstream at datum 18.7 ft higher. Oct. 1, 1978 to June 12, 1989, at present site and datum.","Regulation at times since 1958 by North Fork Reservoir, capacity, about 1,030 acre-ft. No diversion upstream from station.",0.0
14139800,"Lat 45Â°26'41"", long 122Â°06'30"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.31, T.1 S., R.6 E., Clackamas County, OR, Hydrologic Unit 17080001, Mount Hood National Forest, on right bank, 6.2 mi northeast of Bull Run and at mile 0.6.","Water-stage recorder and crest-stage gage. Elevation of gage is 990 ft above NGVD of 1929, from topographic map.",No regulation or diversion upstream from station.,2.0
14140000,"Lat 45Â°26'14.28"", long 122Â°10'46.76"" referenced to North American Datum of 1983, in NE 1/4 SW 1/4 sec.34, T.1 S., R.5 E., Clackamas County, OR, Hydrologic Unit 17080001, in Mount Hood National Forest, on left bank 1.8 mi downstream from Bull Run Reservoir Number One, 2.7 mi northeast of Bull Run and at mile 4.7.","Water-stage recorder. Datum of gage is 567.90 ft above NGVD of 1929 (levels by City of Portland). Prior to July 27, 1909, nonrecording gage at site 1.5 mi upstream at different datum. July 27, 1909 to Sept. 30, 1959, water-stage recorder at site 2.5 mi upstream at different datum.","Flow regulated since 1915 by Bull Run Lake (capacity, 12,270 acre-ft), since 1929 by Bull Run Reservoir Number One (capacity, 30,140 acre-ft), since 1958 by North Fork Reservoir (capacity, 1,030 acre-ft), and since 1961 by Bull Run Reservoir Number Two (capacity, 21,000 acre-ft). Computation of monthly and annual adjusted flows discontinued water year 1959 (see PERIOD OF RECORD). Continuous water-quality records for period December 2000 to September 2006 have been collected at this location.",0.0
